listing_id;description;room_type;price;neighborhood_full;host_name;last_review
2595;Skylit Midtown Castle;Entire home/apt;225 dollars;Manhattan, Midtown;Jennifer;21/05/2021
3831;Cozy Entire Floor of Brownstone;Entire home/apt;89 dollars;Brooklyn, Clinton Hill;LisaRoxanne;21/07/2005
5099;Large Cozy 1 BR Apartment In Midtown East;Entire home/apt;200 dollars;Manhattan, Murray Hill;Chris;21/06/2022
5178;Large Furnished Room Near B'way;private room;79 dollars;Manhattan, Hell's Kitchen;Shunichi;21/06/2024
5238;Cute & Cozy Lower East Side 1 bdrm;Entire home/apt;150 dollars;Manhattan, Chinatown;Ben;21/06/2009
5295;Beautiful 1br on Upper West Side;Entire home/apt;135 dollars;Manhattan, Upper West Side;Lena;21/06/2022
5441;Central Manhattan/near Broadway;Private room;85 dollars;Manhattan, Hell's Kitchen;Kate;21/06/2023
5803;Lovely Room 1, Garden, Best Area, Legal rental;Private room;89 dollars;Brooklyn, South Slope;Laurie;21/06/2024
6021;Wonderful Guest Bedroom in Manhattan for SINGLES;Private room;85 dollars;Manhattan, Upper West Side;Claudio;21/07/2005
6848;Only 2 stops to Manhattan studio;entire home/apt;140 dollars;Brooklyn, Williamsburg;Allen & Irina;21/06/2029
7097;Perfect for Your Parents + Garden;Entire home/apt;215 dollars;Brooklyn, Fort Greene;Jane;21/06/2028
7322;Chelsea Perfect;Private room;140 dollars;Manhattan, Chelsea;Doti;21/07/2001
7726;Hip Historic Brownstone Apartment with Backyard;Entire home/apt;99 dollars;Brooklyn, Crown Heights;Adam And Charity;21/06/2022
8024;CBG CtyBGd HelpsHaiti rm#1:1-4;PRIVATE ROOM;130 dollars;Brooklyn, Park Slope;Lisel;21/07/2001
8025;CBG Helps Haiti Room#2.5;PRIVATE ROOM;80 dollars;Brooklyn, Park Slope;Lisel;21/01/2001
8110;CBG Helps Haiti Rm #2;Private room;110 dollars;Brooklyn, Park Slope;Lisel;21/07/2002
8490;MAISON DES SIRENES1,bohemian apartment;Entire home/apt;120 dollars;Brooklyn, Bedford-Stuyvesant;Nathalie;21/06/2019
8505;Sunny Bedroom Across Prospect Park;Private room;60 dollars;Brooklyn, Windsor Terrace;Gregory;21/06/2023
9518;SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM;PRIVATE ROOM;44 dollars;Manhattan, Inwood;Shon;21/06/2015
9657;Modern 1 BR / NYC / EAST VILLAGE;entire home/apt;180 dollars;Manhattan, East Village;Dana;21/04/2019
9668;front room/double bed;PRIVATE ROOM;50 dollars;Manhattan, Harlem;Ssameer Or Trip;21/06/2001
9704;Spacious 1 bedroom in luxe building;Private room;52 dollars;Manhattan, Harlem;Teri;21/06/2014
9782;Loft in Williamsburg Area w/ Roof;Private room;55 dollars;Brooklyn, Greenpoint;Andrea;21/06/2015
9783;back room/bunk beds;Private room;50 dollars;Manhattan, Harlem;Ssameer Or Trip;21/07/2001
10452;Large B&B Style rooms;Private room;70 dollars;Brooklyn, Bedford-Stuyvesant;Angela;21/05/2012
10962;"Lovely room 2 & garden; Best area, Legal rental";Private room;89 dollars;Brooklyn, South Slope;Laurie;21/06/2021
11708;Cute apt in artist's home;Entire home/apt;85 dollars;Brooklyn, Bushwick;Tyrome;21/06/2022
12048;LowerEastSide apt share shortterm 1;shared room;40 dollars;Manhattan, Lower East Side;Ben;21/07/2005
12192;ENJOY Downtown NYC!;PRIVATE ROOM;68 dollars;Manhattan, East Village;Edward;21/06/2021
12299;Beautiful Sunny Park Slope Brooklyn;Entire home/apt;120 dollars;Brooklyn, South Slope;Abdul;21/05/2027
12318;West Side Retreat;Private room;135 dollars;Manhattan, Upper West Side;Cyn;21/06/2016
12343;BEST BET IN HARLEM;Entire home/apt;150 dollars;Manhattan, Harlem;Earl;21/06/2013
12627;Entire apartment in central Brooklyn neighborhood.;Entire home/apt;150 dollars;Brooklyn, Prospect-Lefferts Gardens;Rana;21/06/2005
12937;1 Stop fr. Manhattan! Private Suite,Landmark Block;private room;130 dollars;Queens, Long Island City;Orestes;21/07/2001
12940;Charming Brownstone 3 - Near PRATT;Entire home/apt;110 dollars;Brooklyn, Bedford-Stuyvesant;Adreinne;21/05/2025
13394;Fort Greene brownstone;Private room;80 dollars;Brooklyn, Fort Greene;Alexander;21/06/2017
13808;Blue Room for 2 in Brownstone for $1350 monthly;Private room;80 dollars;Brooklyn, Bedford-Stuyvesant;JT And Tiziana;21/06/2016
14287;Cozy 1BD on Central Park West in New York City;Entire home/apt;151 dollars;Manhattan, Upper West Side;Joya;21/07/2007
14290;* ORIGINAL BROOKLYN LOFT *;entire home/apt;228 dollars;Brooklyn, Williamsburg;James;21/05/2017
14314;Greenpoint Place...Has It All!;ENTIRE HOME/APT;144 dollars;Brooklyn, Greenpoint;Jeanne;21/06/2029
14322;Beautiful Apartment in Manhattan!!!;Entire home/apt;200 dollars;Manhattan, Kips Bay;Francesca;21/03/2025
14377;Williamsburg 1 bedroom Apartment;Entire home/apt;150 dollars;Brooklyn, Williamsburg;Joanna;21/06/2022
14991;Great Location, Manhattan Bedroom!;PRIVATE ROOM;110 dollars;Manhattan, Lower East Side;Bianca;21/05/2018
15220;Best Location in NYC! TIMES SQUARE!;private room;69 dollars;Manhattan, Hell's Kitchen;Luiz;21/06/2009
15338;Room in Greenpoint Loft w/ Roof;Private room;49 dollars;Brooklyn, Greenpoint;Andrea;21/06/2004
15341;**Bright Nolita Apt w Doorman/Elevators/Gym**;Entire home/apt;180 dollars;Manhattan, SoHo;Ted;21/06/2029
15385;Very, very cozy place;Private room;80 dollars;Brooklyn, Williamsburg;Cristina;21/06/1930
15711;2 bedroom - Upper East Side-great for kids;ENTIRE HOME/APT;250 dollars;Manhattan, Upper East Side;D;21/03/1930
16326;Comfortable 4-bedroom apt in family house.;Entire home/apt;200 dollars;Brooklyn, Prospect Heights;Dimitri;21/01/2026
16421;Your Heaven in Hells Kitchen;Private room;52 dollars;Manhattan, Hell's Kitchen;Mark;21/05/2016
16580;Sunny, Modern room in East Village!;Private room;80 dollars;Manhattan, East Village;Reka;21/07/2001
16595;*HAVEN LOFT - Entire Floor - Six Windows - Bricks*;Entire home/apt;275 dollars;Brooklyn, Williamsburg;Daniel;21/06/2023
16821;Large Room in Amazing East Village Apt;Private room;99 dollars;Manhattan, East Village;Casey;21/06/2021
16974;SpaHa Loft: Enormous and Bright;Entire home/apt;225 dollars;Manhattan, East Harlem;Robin;21/06/2023
17092;Cool Room in Hell's Kitchen;Private room;51 dollars;Manhattan, Hell's Kitchen;Enzo;21/06/2001
17693;HARLEM, NEW YORK WELCOMES YOU!!;Private room;65 dollars;Manhattan, Washington Heights;Tye And Etienne;21/06/2018
17747;BLUE TRIM GUEST HOUSE;Private room;105 dollars;Brooklyn, Clinton Hill;George;21/06/2026
18127;Charming East Village One Bedroom Flat;Entire home/apt;190 dollars;Manhattan, East Village;Josh;21/01/2002
18152;Manhattan Room;Private room;200 dollars;Manhattan, Upper East Side;Victoria;21/07/2009
18198;Little King of Queens;Private room;70 dollars;Queens, Woodside;Justin;21/05/1931
18590;Fort Greene Retreat on the Park;Private room;95 dollars;Brooklyn, Fort Greene;Blaise;21/06/2016
18728;Beautiful Meatpacking District Loft;Private room;150 dollars;Manhattan, Chelsea;DAVID And RICK;21/05/2028
18764;Cozy 2 BR in Williamsburg;private room;145 dollars;Brooklyn, Williamsburg;Lulú;21/04/2022
19159;Spacious luminous apt Upper West NYC;Entire home/apt;110 dollars;Manhattan, Harlem;Sybilla;21/03/2023
19169;Entire 2 Bedroom - Large & Sunny;Entire home/apt;285 dollars;Manhattan, Lower East Side;JoLynn;21/06/1930
19282;Sunny, Spacious Top Floor Haven;Entire home/apt;130 dollars;Brooklyn, Flatbush;Gaia;21/06/2015
